Periodicidad: Mensual
"Periodo","Indicadores económicos de coyuntura > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Series desestacionalizadas y tendencia-ciclo > Nacional > Tasa de desocupación > Total > Serie desestacionalizada Índice a/  f1/ (Porcentaje de la Población Económicamente Activa) ","Indicadores económicos de coyuntura > Índices de precios > Índice nacional de precios al consumidor. Base segunda quincena de julio de 2018=100 > Mensual > Inflación mensual interanual Índice general f2/ (Variación porcentual) ","Indicadores económicos de coyuntura > Índices de precios > Índice nacional de precios al consumidor. Base segunda quincena de julio de 2018=100 > Mensual > Índice Índice general f2/ (Índice base segunda quincena de julio 2018 = 100) "
"2005/01","3.636742111704","4.54","58.3091603733014"
"2005/02","3.551421712543","4.27","58.5034309913156"
"2005/03","3.632589691622","4.39","58.7671209768338"
"2005/04","3.566550268002","4.6","58.9764151893082"
"2005/05","3.677899635575","4.6","58.8282514646358"
"2005/06","3.743540902066","4.33","58.771783471666"
"2005/07","3.575242488507","4.47","59.0017998833952"
"2005/08","3.434784444091","3.95","59.0722553608615"
"2005/09","3.340340241798","3.51","59.3090064873482"
"2005/10","3.260724881777","3.05","59.4545799371139"
"2005/11","3.147272528848","2.91","59.8824933517271"
"2005/12","3.173324731658","3.33","60.2503123885007"
"2006/01","3.202318169061","3.94","60.6036258857962"
"2006/02","3.521814727335","3.75","60.6963577274618"
"2006/03","3.33598234116","3.41","60.7725118097234"
"2006/04","3.382306050486","3.2","60.8616172665192"
"2006/05","3.146360522827","3","60.5906745112619"
"2006/06","3.506301464894","3.18","60.6429980643804"
"2006/07","3.665274662888","3.06","60.8092937134007"
"2006/08","3.616751358832","3.47","61.1196086472422"
"2006/09","3.727664382921","4.09","61.7366121300559"
"2006/10","3.677396392785","4.29","62.0065187753508"
"2006/11","3.739294909006","4.09","62.3318573036518"
"2006/12","3.790177278869","4.05","62.6924235706863"
"2007/01","3.730065359463","3.98","63.0162079340435"
"2007/02","3.816723925008","4.11","63.1923466277105"
"2007/03","3.800527951651","4.21","63.3291131427925"
"2007/04","3.688186067948","3.99","63.2912951291521"
"2007/05","3.465757746001","3.95","62.9825343602545"
"2007/06","3.538478747126","3.98","63.0581703875346"
"2007/07","3.487051135893","4.14","63.3260048129042"
"2007/08","3.576353701031","4.03","63.5839961936272"
"2007/09","3.503494985804","3.79","64.0777025908746"
"2007/10","3.631134293464","3.74","64.3274050918955"
"2007/11","3.553234496436","3.93","64.7812212555773"
"2007/12","3.524239584023","3.76","65.0490556809461"
"2008/01","3.81697661389","3.7","65.350563680104"
"2008/02","3.680226034241","3.72","65.5448342981189"
"2008/03","3.760176087523","4.25","66.0198907160361"
"2008/04","3.617563775011","4.55","66.1701266606339"
"2008/05","3.576505419125","4.95","66.0986350732053"
"2008/06","3.611775859083","5.26","66.3721681033693"
"2008/07","3.843580084779","5.39","66.7420593600682"
"2008/08","3.776179949951","5.57","67.1274922662089"
